Gender,Age,Hospital Type,Visit Type,Waiting Time,Nurse Staff Behaviour,Doctor Communication,Hospital Cleanliness,Overall Satisfaction,Return Intention,Biggest Problem,Recommendation,Treatment Quality,Waiting Area Facilities,Respect Privacy,Medicine Explanation,Charges,Occupation,Age1,Nurse Staff Behaviour Score,Hospital Cleanliness Score,Overall_satisfaction_Avergae,Waiting Time Number
Male,15-25,Government,Follow-up/Routine Checkup,30-60 minutes,Neutral,Agree,Disagree,4,3,Long lines,Yes,2,Disagree,Neutral,Agree,Reasonable,Student,65,3,2,3.038461538,45
Female,15-25,Private,OPD (Doctor Consultation ),15-30 minutes,Strongly Disagree,Strongly Disagree,Strongly Disagree,3,3,Long lines,Maybe,4,Neutral,Agree,Agree,Expensive,Student,65,1,1,3.038461538,22
Female,15-25,Private clinic,OPD (Doctor Consultation ),Less than 15 minutes,Strongly Agree,Strongly Agree,Strongly Agree,1,3,,Yes,5,Strongly Agree,Strongly Agree,Strongly Agree,Reasonable,Student,65,5,5,3.038461538,10
Male,25-35,Private clinic,OPD (Doctor Consultation ),15-30 minutes,Agree,Strongly Agree,Strongly Agree,3,3,Cost,Maybe,3,Strongly Agree,Agree,Agree,Expensive,Private Job,30,4,5,3.038461538,22
Male,15-25,Private clinic,OPD (Doctor Consultation ),15-30 minutes,Agree,Strongly Agree,Agree,4,3,Long lines,Yes,4,Agree,Agree,Agree,Reasonable,Student,65,4,4,3.038461538,22
Male,15-25,Government,OPD (Doctor Consultation ),15-30 minutes,Neutral,Neutral,Neutral,3,2,Short consultation,Maybe,3,Neutral,Neutral,Neutral,Expensive,Student,65,3,3,3.038461538,22
Male,15-25,Private,OPD (Doctor Consultation ),Less than 15 minutes,Neutral,Neutral,Agree,3,2,Long lines,Maybe,3,Neutral,Neutral,Neutral,Reasonable,Student,65,3,4,3.038461538,10
Female,15-25,Government,OPD (Doctor Consultation ),15-30 minutes,Agree,Neutral,Neutral,3,2,Rude staff behavior,Maybe,3,Neutral,Neutral,Neutral,Reasonable,Student,65,4,3,3.038461538,22
Male,15-25,Private,OPD (Doctor Consultation ),15-30 minutes,Agree,Agree,Agree,4,2,Cost,Maybe,4,Neutral,Agree,Agree,Reasonable,Student,65,4,4,3.038461538,22
Male,15-25,Government,OPD (Doctor Consultation ),15-30 minutes,Agree,Agree,Disagree,4,3,Long lines,Yes,4,Strongly Disagree,Agree,Agree,Expensive,Student,65,4,2,3.038461538,22
